,CANT,DESCR,SUBTOTAL_PARTIDA
182,1,REPARACION DE HORNO 780W 120V MAR-VULCAN,862.07
183,3,BOB DSD CAL.6 86MMØX713MM U 48KW440V GA,7575.0
184,2,"AEROPACK J 1/16""ØX2"" T-1/8""ØX11/2"" EXT1M",675.4
185,11,"TEA K 1/2""ØX53CM CO/1/2""NPT INOX C/MARIN",16492.26
186,6,"TEA K 1/2""ØX130CM CO/1/2""NPT INOX C/MARI",14096.87
187,4,"TER K 1/4""ØX2"" EXT.1MT RESORT C/MINI MAC",2040.0
188,2,"TER T 3/16""ØX51CMX6CM EXT2MT CON-1/8 90°",1626.1
189,2,"TER T 3/16""ØX127MMX6CM EXT5MT CON-1/8 90",2096.0
190,2,"TUB INOX 5/16""ØX203MM 1500W 240V U TAP1""",1050.0
191,3,"TEA K 1/2""Øx1800mm CON1/2-1/2 C/MARINA",12750.0
192,2,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,239.66
193,1,"TUB INOX 5/16""ØX800MM 2000W127V ""J"" TBOY",813.0
194,1,"TEA K 1/2""ØX18""X24"" ESCUADRA BLOCK/CMARI",2068.5
195,6,"TUB ALETADA 5/16""ØX32CM 750W 220 V",9108.0
196,5,"TERMOPAR CERAMICO T/K"" LONG 18"" CAL 8""",2985.3
197,1,REPARACION SELLADORA PCS300,683.25
198,1,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8""",813.1
199,18,"TUB INOX 7/16""ØX80CM 960W 240V RECTA T/T",12434.58
200,2,"TUB INOX 3/8""ØX33.5CM 6000W480V ""U"" PLAC",3040.0
201,1,"BOQUILLA 11/2X1""1/2"" 300W 240V""",385.0
202,1,"BOQUILLA 11/2X1""1/2"" 300W 240V""",435.0
203,1,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT""",206.9
204,36,TUB ESP 10MMØX1985MM 1000W 440V BUS/SOPO,52200.0
205,2,"BAN P INOX 1 1/2""X12"" 240V W-MAX",1560.5
206,2,"BAN P INOX 1 1/2""X14"" 240V W-MAX",1598.24
207,2,"BAN P INOX 1 1/2""X16"" 240V W-MAX",1643.78
208,2,"BAN P INOX 1 1/2""X18"" 240V W-MAX",1678.86
209,2,"BAN INOX 12""ØX 1 1/2"" 1250W 240V C/ALLEN",1802.24
210,2,"BAN INOX 14""ØX 1 1/2"" 1500W240V C/ALLEN",1984.0
211,2,"BAN INOX 16""ØX1 1/2"" 1750W 240V C/ALLEN",2218.44
212,2,"BAN INOX 20""ØX 11/2"" 2300W 240C C/ALLEN",2224.0
213,7,"BAN P INOX 7""X1 1/2"" 900W 240V T/TOR",5075.7
214,2,"TER J 1/4""X1/2"" EXT1MT TORNILLO LOCO",774.9
215,2,"TUB INOX 5/16""Øx197CM 2500W 220V ""M"" ESP",3348.0
216,2,"RC 5/8""ØX748MM 1100W220V T/TORNILLO",1920.0
217,2,"CAS INOX 5/8""ØX4"" 600W 127V EXT 30CM",1379.84
218,2,"CAS INOX 5/8""ØX4"" 600W 127V EXT 30CM",1379.84
219,1,"TUB INOX 5/16""ØX800MM 2000W127V ""J"" TBOY",813.0
220,3,CBS INOX 27MMØX180CM 1000W 440V CAJA ESP,9600.0
221,6,"TUB INCOL 5/16""ØX355MM 9000W240V J T/BOI",18630.0
